"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
0.914,45,-92,-15.2322246343789,-17.8844171269258
0.914,45,-90,-14.9458064207704,-17.8784394053272
0.914,45,-88,-14.6568485475033,-17.6567976678815
0.914,45,-86,-14.3647181051162,-17.2037627801646
0.914,45,-84,-14.0689278514195,-16.5374200686419
0.914,45,-82,-13.7691360370291,-15.7019002781098
0.914,45,-80,-13.4651444675331,-14.7508994915119
0.914,45,-78,-13.1568946402186,-13.7335532639556
0.914,45,-76,-12.8444619136924,-12.6878129150235
0.914,45,-74,-12.5280477882972,-11.6398972341154
0.914,45,-72,-12.2079704827739,-10.6065294901591
0.914,45,-70,-11.8846540791856,-9.59768576768766
0.914,45,-68,-11.5586165679361,-8.61889803965535
0.914,45,-66,-11.2304571556692,-7.67291370692393
0.914,45,-64,-10.9008432022767,-6.76080328153022
0.914,45,-62,-10.5704971333471,-5.88266831670843
0.914,45,-60,-10.2401836371045,-5.03808153581196
0.914,45,-58,-9.91069740684917,-4.22635471026207
0.914,45,-56,-9.5828516373948,-3.44669822135747
0.914,45,-54,-9.25746743216746,-2.69831344492095
0.914,45,-52,-8.9353642301097,-1.98044390542897
0.914,45,-50,-8.61735132029436,-1.29240139808497
0.914,45,-48,-8.30422047772142,-0.633577136471073
0.914,45,-46,-7.9967397255776,-0.00344414604878768
0.914,45,-44,-7.69564820608529,0.598445268523001
0.914,45,-42,-7.40165212257188,1.17246464658584
0.914,45,-40,-7.11542169835449,1.71891968188786
0.914,45,-38,-6.83758908268821,2.23805489984536
0.914,45,-36,-6.56874712012041,2.73006024495486
0.914,45,-34,-6.30944888737874,3.19507734655987
0.914,45,-32,-6.0602078919934,3.63320536752325
0.914,45,-30,-5.82149881996558,4.04450641970262
0.914,45,-28,-5.5937587166221,4.42901057262561
0.914,45,-26,-5.37738848575814,4.78672050055414
0.914,45,-24,-5.17275459729381,5.11761581699901
0.914,45,-22,-4.98019090255201,5.42165714072074
0.914,45,-20,-4.8000004681178,5.69878992752319
0.914,45,-18,-4.6324573530183,5.9489480906188
