"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
0.914,0,-38,3.93158927237971,-9.16787179680258
0.914,0,-36,4.22256787834004,-8.83175299844776
0.914,0,-34,4.50048134378663,-8.51823986146619
0.914,0,-32,4.76483619017745,-8.22756865603461
0.914,0,-30,5.01517502200654,-7.95994503849642
0.914,0,-28,5.25107488505966,-7.71555198702677
0.914,0,-26,5.47214587584997,-7.49455560678837
0.914,0,-24,5.67802997427934,-7.29710935014379
0.914,0,-22,5.86840007143183,-7.12335705325325
0.914,0,-20,6.0429591655743,-6.97343508149115
0.914,0,-18,6.2014397014252,-6.84747379455617
0.914,0,-16,6.34360303020064,-6.74559848156235
0.914,0,-14,6.46923897060928,-6.66792987177386
0.914,0,-12,6.578165453687,-6.61458429405463
0.914,0,-10,6.67022823704715,-6.5856735344454
0.914,0,-8,6.74530067673394,-6.58130442406577
0.914,0,-6,6.80328354739882,-6.60157817671871
0.914,0,-4,6.84410490398857,-6.64658948538911
0.914,0,-2,6.86771998056571,-6.71642537768564
0.914,0,0,6.87411112430282,-6.81116382064574
0.914,0,2,6.86328776512771,-6.93087205364933
0.914,0,4,6.83528642396072,-7.07560461278884
0.914,0,6,6.79017076498704,-7.24540098904935
0.914,0,8,6.72803169994333,-7.4402828339122
0.914,0,10,6.6489875549602,-7.66025058700456
0.914,0,12,6.55318431307269,-7.90527934825088
0.914,0,14,6.4407959480669,-8.17531374822953
0.914,0,16,6.31202486783899,-8.47026148119149
0.914,0,18,6.16710248786005,-8.78998505110147
0.914,0,20,6.00628995760378,-9.13429113753376
0.914,0,22,5.82987906481512,-9.50291681100645
0.914,0,24,5.63819334414598,-9.89551161345535
0.914,0,26,5.43158941777383,-10.3116142695631
0.914,0,28,5.21045859588624,-10.7506225162845
0.914,0,30,4.97522876399604,-11.2117542525155
0.914,0,32,4.72636658145825,-11.6939979641399
0.914,0,34,4.46438001064916,-12.1960502584476
0.914,0,36,4.18982118821814,-12.7162384985025
0.914,0,38,3.90328963761824,-13.252427212525
0.914,0,40,3.60543580454097,-13.8019085477046
0.914,0,42,3.29696487252319,-14.3612800736488
0.914,0,44,2.97864078333412,-14.9263183568479
0.914,0,46,2.6512903442648,-15.4918644864384
0.914,0,48,2.31580725081722,-16.0517481731616
0.914,0,50,1.97315578775684,-16.5987888735426
0.914,0,52,1.62437389430331,-17.1249218874019
0.914,0,54,1.270575192308,-17.621497607498
0.914,0,56,0.912949483980654,-18.0797838569447
0.914,0,58,0.552761135782459,-18.4916574897941
0.914,0,60,0.191344689321551,-18.8504054257207
0.914,0,62,-0.169903005160688,-19.1514879500828
0.914,0,64,-0.529534831227854,-19.3930840039232
0.914,0,66,-0.886070242802928,-19.5762700590462
0.914,0,68,-1.23801733558815,-19.7047806543127
0.914,0,70,-1.58390030265918,-19.7844196112719
0.914,0,72,-1.92229201390715,-19.8222797456856
0.914,0,74,-2.25185094704785,-19.8259504211576
0.914,0,76,-2.57136112539791,-19.802851903249
0.914,0,78,-2.87977315352446,-19.7597663018625
0.914,0,80,-3.17624397658889,-19.7025712090074
0.914,0,82,-3.46017272005126,-19.6361421367175
0.914,0,84,-3.73122997602613,-19.5643747576364
0.914,0,86,-3.98937823502888,-19.4902799558265
0.914,0,88,-4.23488180387171,-19.4161147551995
0.914,0,90,-4.4683054256376,-19.3435238478207
0.914,0,92,-4.69050179761118,-19.2736763973653
0.914,0,94,-4.90258911415091,-19.2073900179196
0.914,0,96,-5.10592049932525,-19.1452384944671
0.914,0,98,-5.30204763485792,-19.0876425253981
0.914,0,100,-5.49268098792321,-19.0349441709658
0.914,0,102,-5.67964881662253,-18.9874663024247
0.914,0,104,-5.86485664116827,-18.9455585264895
0.914,0,106,-6.05024820212417,-18.9096310353639
0.914,0,108,-6.2377681694799,-18.880177729653
0.914,0,110,-6.42932608524719,-18.857789837162
0.914,0,112,-6.62676025684983,-18.8431611190426
0.914,0,114,-6.83179957929627,-18.8370856058566
0.914,0,116,-7.04602053987552,-18.8404486183246
0.914,0,118,-7.27079593106909,-18.8542115759564
0.914,0,120,-7.50723106015443,-18.8793907574975
0.914,0,122,-7.75608253805271,-18.9170297286263
0.914,0,124,-8.01765419262604,-18.96816457519
0.914,0,126,-8.2916645970572,-19.0337803570071
0.914,0,128,-8.57708174171707,-19.1147563149205
0.914,0,130,-8.87192356427178,-19.2117963229303
0.914,0,132,-9.17303002109117,-19.3253399142412
0.914,0,134,-9.47582528581386,-19.4554480425737
0.914,0,136,-9.774109547107,-19.6016568512847
0.914,0,138,-10.0599488808995,-19.7627927036346
0.914,0,140,-10.3237634345774,-19.9367436904135
0.914,0,142,-10.5547331148526,-20.1201886711953
0.914,0,144,-10.7416185123851,-20.3082974669426
0.914,0,146,-10.8740029535083,-20.4944385601161
0.914,0,148,-10.9437952991048,-20.6699659421349
0.914,0,150,-10.9466491793606,-20.8242015810278
0.914,0,152,-10.8828688834743,-20.9447687366896
0.914,0,154,-10.7574849678224,-21.0184291941093
0.914,0,156,-10.5794714466664,-21.0324864220039
0.914,0,158,-10.3603817701219,-20.9766105213155
0.914,0,160,-10.1128295096766,-20.8446743738957
0.914,0,162,-9.84918301364416,-20.6360232357951
0.914,0,164,-9.58066695412431,-20.3557039205417
0.914,0,166,-9.31688836618365,-20.0135618967295
0.914,0,168,-9.06569924031992,-19.6225548241327
0.914,0,170,-8.83327610851624,-19.1968574389682
0.914,0,172,-8.62431129686259,-18.7502570120648
0.914,0,174,-8.44224144376127,-18.295087967942
0.914,0,176,-8.2894688319531,-17.8417116238994
0.914,0,178,-8.16755329411273,-17.3984106640961
0.914,0,180,-8.07736643532731,-16.9715365076942
0.914,90.0000000000002,-180,-16.9715365076941,-8.07736643532732
0.914,90.0000000000002,-178,-16.9028762031,-8.03681013885844
0.914,90.0000000000002,-176,-16.8780937388922,-8.0519208876828
0.914,90.0000000000002,-174,-16.8969017609023,-8.12279541748125
0.914,90.0000000000002,-172,-16.9592759761251,-8.24986078376862
0.914,90.0000000000002,-170,-17.0654623284927,-8.43390412002039
0.914,90.0000000000002,-168,-17.2159928090284,-8.67611348413755
0.914,90.0000000000002,-166,-17.4117110838346,-8.9781338775599
0.914,90.0000000000002,-164,-17.6538097978593,-9.34214370834425
0.914,90.0000000000002,-162,-17.9438822882606,-9.77095896596276
0.914,90.0000000000002,-160,-18.2839926192486,-10.2681755447863
0.914,90.0000000000002,-158,-18.6767694781657,-10.8383651569689
0.914,90.0000000000002,-156,-19.1255317658727,-11.4873482922374
0.914,90.0000000000002,-154,-19.6344569831453,-12.2225808390221
0.914,90.0000000000002,-152,-20.2088081844161,-13.0537132255461
0.914,90.0000000000002,-150,-20.8552418567106,-13.9934198546565
0.914,90.0000000000002,-148,-21.5822279712167,-15.0586673456943
0.914,90.0000000000002,-146,-22.4006239948384,-16.2727242217547
0.914,90.0000000000002,-144,-23.3244518861683,-17.6684805849922
0.914,90.0000000000002,-142,-24.3719104282729,-19.2941960206659
0.914,90.0000000000002,-140,-25.5665383268581,-21.2239534401634
0.914,90.0000000000002,-138,-26.9379477014949,-23.5773306708468
0.914,90.0000000000002,-136,-28.5196367205281,-26.5536208884047
0.914,90.0000000000002,-134,-30.3341824754127,-30.4308511227622
0.914,90.0000000000002,-132,-32.3307066689202,-34.6084955947669
0.914,90.0000000000002,-130,-34.1830936783823,-34.0063571149465
0.914,90.0000000000002,-128,-35.0274039083391,-30.360944918656
0.914,90.0000000000002,-126,-34.2226162865029,-27.5068607960165
0.914,90.0000000000002,-124,-32.4550156391963,-25.4818979332541
0.914,90.0000000000002,-122,-30.5656797201894,-24.0218789167569
0.914,90.0000000000002,-120,-28.8594448482495,-22.9600664859675
0.914,90.0000000000002,-118,-27.3793918463881,-22.1987468187502
0.914,90.0000000000002,-116,-26.1000966333307,-21.6797321451616
0.914,90.0000000000002,-114,-24.9864903089335,-21.3685301263353
0.914,90.0000000000002,-112,-24.0076432323507,-21.2462416502959
0.914,90.0000000000002,-110,-23.1387009127573,-21.3055232545893
0.914,90.0000000000002,-108,-22.3601009007573,-21.5488416216119
0.914,90.0000000000002,-106,-21.6564096863567,-21.9881185196806
0.914,90.0000000000002,-104,-21.0153200965613,-22.6449860782928
0.914,90.0000000000002,-102,-20.4268838966576,-23.5497269102045
0.914,90.0000000000002,-100,-19.8829454159774,-24.7315683876571
0.914,90.0000000000002,-98,-19.376727381283,-26.1715239630922
0.914,90.0000000000002,-96,-18.9025277518391,-27.6239808451371
0.914,90.0000000000002,-94,-18.4554968181801,-28.2549893229991
0.914,90.0000000000002,-92,-18.0314725369275,-27.1338171280374
0.914,90.0000000000002,-90,-17.6268584623089,-24.8101502314129
0.914,90.0000000000002,-88,-17.2385331061898,-22.2977842291954
0.914,90.0000000000002,-86,-16.8637826308278,-19.9885627319672
0.914,90.0000000000002,-84,-16.5002508794098,-17.9381718112206
0.914,90.0000000000002,-82,-16.1459021929293,-16.1171762685779
0.914,90.0000000000002,-80,-15.7989934704485,-14.4854220052296
0.914,90.0000000000002,-78,-15.4580526584776,-13.008271250616
0.914,90.0000000000002,-76,-15.1218614112056,-11.6584756971337
0.914,90.0000000000002,-74,-14.7894401185006,-10.4150300448886
0.914,90.0000000000002,-72,-14.4600338981463,-9.26171547379738
0.914,90.0000000000002,-70,-14.133098517088,-8.18589757896818
0.914,90.0000000000002,-68,-13.8082855520275,-7.17762695068889
0.914,90.0000000000002,-66,-13.4854264196974,-6.22898383699852
0.914,90.0000000000002,-64,-13.1645151920109,-5.33360168983249
0.914,90.0000000000002,-62,-12.8456903491844,-4.48631814767818
0.914,90.0000000000002,-60,-12.5292158045905,-3.68291641242826
0.914,90.0000000000002,-58,-12.2154616525986,-2.91993111453568
0.914,90.0000000000002,-56,-11.9048851448445,-2.19450065502432
0.914,90.0000000000002,-54,-11.5980123968989,-1.50425344788686
0.914,90.0000000000002,-52,-11.2954212765327,-0.847219201641412
0.914,90.0000000000002,-50,-10.9977258399425,-0.221758925854501
0.914,90.0000000000002,-48,-10.7055625775266,0.373490891735076
0.914,90.0000000000002,-46,-10.4195786192776,0.939663263327425
0.914,90.0000000000002,-44,-10.1404219425806,1.47769729256036
0.914,90.0000000000002,-42,-9.86873353024775,1.98836821709108
0.914,90.0000000000002,-40,-9.60514134903413,2.47231229058465
0.914,90.0000000000002,-38,-9.35025596094723,2.93004756276022
0.914,90.0000000000002,-36,-9.10466754145863,3.36199137120301
0.914,90.0000000000002,-34,-8.86894405873072,3.7684751744529
0.914,90.0000000000002,-32,-8.64363036367975,4.14975721583919
0.914,90.0000000000002,-30,-8.42924794913096,4.50603340007398
0.914,90.0000000000002,-28,-8.22629515440859,4.83744668158753
0.914,90.0000000000002,-26,-8.03524761653504,5.14409519916756
0.914,90.0000000000002,-24,-7.85655879819536,5.42603934142256
0.914,90.0000000000002,-22,-7.69066045355308,5.68330788878368
0.914,90.0000000000002,-20,-7.53796292408131,5.91590334778463
0.914,90.0000000000002,-18,-7.39885518639746,6.12380657030866
0.914,90.0000000000002,-16,-7.27370460161622,6.3069807328089
0.914,90.0000000000002,-14,-7.16285634024806,6.46537473687916
0.914,90.0000000000002,-12,-7.06663247773245,6.5989260818589
0.914,90.0000000000002,-10,-6.98533077311389,6.70756325143192
0.914,90.0000000000002,-8,-6.91922315715423,6.7912076486111
0.914,90.0000000000002,-6,-6.86855396649655,6.84977510641373
0.914,90.0000000000002,-4,-6.83353796765232,6.88317699439302
0.914,90.0000000000002,-2,-6.81435821895471,6.89132093360606
0.914,90.0000000000002,0,-6.81116382064567,6.87411112430282
0.914,90.0000000000002,2,-6.82406760339792,6.83144828146438
0.914,90.0000000000002,4,-6.85314380426857,6.76322916323956
0.914,90.0000000000002,6,-6.89842577676172,6.66934566631891
0.914,90.0000000000002,8,-6.95990377872498,6.5496834503482
0.914,90.0000000000002,10,-7.03752287854375,6.40412004058442
0.914,90.0000000000002,12,-7.1311810167947,6.23252234400705
0.914,90.0000000000002,14,-7.24072725738252,6.03474349873357
0.914,90.0000000000002,16,-7.36596025936418,5.81061895934408
0.914,90.0000000000002,18,-7.50662699826847,5.55996170079609
0.914,90.0000000000002,20,-7.66242176381529,5.28255639982376
0.914,90.0000000000002,22,-7.83298545957543,4.97815242339267
0.914,90.0000000000002,24,-8.01790522932264,4.64645541661628
0.914,90.0000000000002,26,-8.21671443464847,4.28711723439547
0.914,90.0000000000002,28,-8.42889300887855,3.89972389766057
0.914,90.0000000000002,30,-8.65386821349475,3.48378117066962
0.914,90.0000000000002,32,-8.89101582518737,3.03869724234555
0.914,90.0000000000002,34,-9.13966178438536,2.56376184093221
0.914,90.0000000000002,36,-9.39908433966247,2.05812090141702
0.914,90.0000000000002,38,-9.66851672676436,1.52074561620581
0.914,90.0000000000002,40,-9.94715042602026,0.950394297552278
0.914,90.0000000000002,42,-10.234139047335,0.345564914355173
0.914,90.0000000000002,44,-10.5286028973652,-0.295564641740093
0.914,90.0000000000002,46,-10.8296342882127,-0.975212677087674
0.914,90.0000000000002,48,-11.1363036501289,-1.69609204830245
0.914,90.0000000000002,50,-11.4476665111821,-2.46153919332693
0.914,90.0000000000002,52,-11.7627714032912,-3.27568629536206
0.914,90.0000000000002,54,-12.0806687450416,-4.14369535664435
0.914,90.0000000000002,56,-12.4004207359277,-5.07208321642042
0.914,90.0000000000002,58,-12.7211122730144,-6.06918371123959
0.914,90.0000000000002,60,-13.0418628689101,-7.14582291871509
0.914,90.0000000000002,62,-13.3618395096796,-8.3163370584377
0.914,90.0000000000002,64,-13.6802703442319,-9.60016383227157
0.914,90.0000000000002,66,-13.9964590454978,-11.0244392008908
0.914,90.0000000000002,68,-14.3097996323911,-12.6284562112849
0.914,90.0000000000002,70,-14.6197914954537,-14.4718001773913
0.914,90.0000000000002,72,-14.926054334411,-16.6502839512209
0.914,90.0000000000002,74,-15.2283426990884,-19.3295548009743
0.914,90.0000000000002,76,-15.5265598322182,-22.8169090228404
0.914,90.0000000000002,78,-15.8207705481245,-27.6012860563874
0.914,90.0000000000002,80,-16.1112129473929,-31.6365911236443
0.914,90.0000000000002,82,-16.3983088639113,-27.9260337870138
0.914,90.0000000000002,84,-16.6826730636474,-23.8701155596152
0.914,90.0000000000002,86,-16.9651213581917,-21.0861603192046
0.914,90.0000000000002,88,-17.2466779527427,-19.0861109531863
0.914,90.0000000000002,90,-17.5285825096784,-17.5747310714521
0.914,90.0000000000002,92,-17.8122975679261,-16.392614667118
0.914,90.0000000000002,94,-18.0995171099038,-15.4473546214229
0.914,90.0000000000002,96,-18.3921772095928,-14.6815135961844
0.914,90.0000000000002,98,-18.6924698276652,-14.0573821173511
0.914,90.0000000000002,100,-19.0028609440124,-13.5491686370178
0.914,90.0000000000002,102,-19.3261143334103,-13.1387084464782
0.914,90.0000000000002,104,-19.665322385409,-12.8129624013191
0.914,90.0000000000002,106,-20.0239454094401,-12.5624854399281
0.914,90.0000000000002,108,-20.4058607621138,-12.380449430129
0.914,90.0000000000002,110,-20.8154226858092,-12.261997004342
0.914,90.0000000000002,112,-21.2575325233839,-12.2037994664147
0.914,90.0000000000002,114,-21.737716051175,-12.2037421987235
0.914,90.0000000000002,116,-22.2621980864988,-12.2606874934249
0.914,90.0000000000002,118,-22.8379500568407,-12.3742775684034
0.914,90.0000000000002,120,-23.4726547098379,-12.5447440743363
0.914,90.0000000000002,122,-24.1744635729954,-12.7726857047026
0.914,90.0000000000002,124,-24.9512734806247,-13.0587611926174
0.914,90.0000000000002,126,-25.8089262342113,-13.4032173777273
0.914,90.0000000000002,128,-26.7470658360553,-13.8051257539594
0.914,90.0000000000002,130,-27.7501574910164,-14.2611319533663
0.914,90.0000000000002,132,-28.7697601643996,-14.7634408913584
0.914,90.0000000000002,134,-29.6965698648662,-15.2967280009383
0.914,90.0000000000002,136,-30.3410587549108,-15.8338897588756
