"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
0.914,45,114,-10.4496720918765,-17.2313168235225
0.914,45,116,-11.1996361813273,-17.1466467926654
0.914,45,118,-12.0127412108779,-17.0862515204911
0.914,45,120,-12.8997012198606,-17.0512644105128
0.914,45,122,-13.8727403556534,-17.0431354021608
0.914,45,124,-14.9448260128618,-17.0636261482074
0.914,45,126,-16.1270038565624,-17.1148125701441
0.914,45,128,-17.4207922410078,-17.1990957747013
0.914,45,130,-18.7984953882695,-17.3192228585092
0.914,45,132,-20.1587570742562,-17.4783198145837
0.914,45,134,-21.2581047560543,-17.6799396628131
0.914,45,136,-21.7214123776197,-17.9281301632224
0.914,45,138,-21.3250335580514,-18.2275271825035
0.914,45,140,-20.2662325123603,-18.5834821734893
0.914,45,142,-18.924094961726,-19.002235558853
0.914,45,144,-17.5568475874737,-19.4911523815574
0.914,45,146,-16.2760273019636,-20.0590425601665
0.914,45,148,-15.1147005326487,-20.7165948975145
0.914,45,150,-14.0743063350031,-21.4769583417597
0.914,45,152,-13.1457460764785,-22.3564934141451
0.914,45,154,-12.3175910514881,-23.3756483027451
0.914,45,156,-11.5789828245781,-24.5596424437443
0.914,45,158,-10.9204884959614,-25.9376641010729
0.914,45,160,-10.3342049281424,-27.535852754909
0.914,45,162,-9.81361259811977,-29.3476117889624
0.914,45,164,-9.35336884873383,-31.2321332556592
0.914,45,166,-8.94910885672898,-32.6844138746892
0.914,45,168,-8.59727542689894,-32.8763237656247
0.914,45,170,-8.29498086939164,-31.7259022273093
0.914,45,172,-8.03989802376575,-30.0389644333425
0.914,45,174,-7.83017588051539,-28.3849855352389
0.914,45,176,-7.66437536334143,-26.9380090021957
0.914,45,178,-7.54142152831985,-25.7144369065749
0.914,45,180,-7.46056926557685,-24.6902139844191
0.914,135,-180,-24.6902139844191,-7.46056926557686
0.914,135,-178,-24.7059891807689,-7.6924877986727
0.914,135,-176,-24.7770437674497,-7.98066053731056
0.914,135,-174,-24.9029992179144,-8.32778385476356
0.914,135,-172,-25.0835512100599,-8.73673091156624
0.914,135,-170,-25.3183772478823,-9.21053932104893
0.914,135,-168,-25.6069386970803,-9.75234494406737
0.914,135,-166,-25.9481289908881,-10.3652141361784
0.914,135,-164,-26.3396881241337,-11.0517870489476
0.914,135,-162,-26.7772631180725,-11.8135734610506
0.914,135,-160,-27.2529547121971,-12.6496202838941
0.914,135,-158,-27.7531922677584,-13.5540794167539
0.914,135,-156,-28.255932764961,-14.5119822123633
0.914,135,-154,-28.727713469419,-15.492539872891
0.914,135,-152,-29.1222670522666,-16.4404703284855
0.914,135,-150,-29.38397063102,-17.2701374669861
0.914,135,-148,-29.4593692179414,-17.87503301656
0.914,135,-146,-29.3150770655463,-18.1653545024507
0.914,135,-144,-28.9519256339983,-18.1184226641484
0.914,135,-142,-28.4041359770018,-17.7935861451805
0.914,135,-140,-27.7242278931608,-17.2941602146113
0.914,135,-138,-26.9654072077653,-16.7184774935044
0.914,135,-136,-26.1708593621335,-16.1365287742836
0.914,135,-134,-25.3709231824443,-15.589934430256
0.914,135,-132,-24.5847350612807,-15.1002378631545
0.914,135,-130,-23.823201808151,-14.6768890504938
0.914,135,-128,-23.0917361840822,-14.3227270476206
0.914,135,-126,-22.3923020984537,-14.0372804492618
0.914,135,-124,-21.7248012468446,-13.8186398949746
0.914,135,-122,-21.0879648677849,-13.6644947383589
0.914,135,-120,-20.4799093506578,-13.572707157857
0.914,135,-118,-19.8984747052488,-13.5416411200452
0.914,135,-116,-19.3414264653755,-13.5703699641583
0.914,135,-114,-18.8065729979549,-13.6588342515193
0.914,135,-112,-18.2918309465837,-13.8079942088139
0.914,135,-110,-17.7952591808653,-14.0200083461762
0.914,135,-108,-17.3150738574689,-14.2984660947494
0.914,135,-106,-16.8496523632336,-14.6487048873285
0.914,135,-104,-16.3975309058702,-15.0782497657018
0.914,135,-102,-15.957398648962,-15.5974249417518
0.914,135,-100,-15.5280901242595,-16.2201962930402
0.914,135,-98,-15.1085769306535,-16.9652890340906
0.914,135,-96,-14.6979592824849,-17.8574996519188
0.914,135,-94,-14.2954576987122,-18.9285603824099
0.914,135,-92,-13.900404965234,-20.2146657443522
0.914,135,-90,-13.5122384146145,-21.7389766997104
0.914,135,-88,-13.1304925240124,-23.43559280118
0.914,135,-86,-12.7547918156303,-24.9052440432546
0.914,135,-84,-12.3848440426366,-25.1682532879897
0.914,135,-82,-12.0204336493498,-23.7204177607333
0.914,135,-80,-11.6614155023173,-21.4478485568042
0.914,135,-78,-11.3077088955892,-19.1486295833539
0.914,135,-76,-10.9592918372508,-17.0637447131373
0.914,135,-74,-10.6161956244999,-15.2116083778013
0.914,135,-72,-10.2784997114086,-13.5599510063721
0.914,135,-70,-9.94632686767669,-12.0727234590723
0.914,135,-68,-9.6198386192244,-10.7198570415733
0.914,135,-66,-9.29923095356239,-9.47792618731793
0.914,135,-64,-8.98473026571881,-8.32895839003618
0.914,135,-62,-8.67658951515563,-7.25914083852659
0.914,135,-60,-8.37508456138736,-6.25777784705644
0.914,135,-58,-8.08051064642271,-5.31651251113473
0.914,135,-56,-7.79317899581105,-4.42875759640848
0.914,135,-54,-7.51341351673286,-3.58927969732108
0.914,135,-52,-7.24154758061515,-2.7938930858039
0.914,135,-50,-6.97792088828303,-2.03923183975098
0.914,135,-48,-6.72287642659617,-1.32257816970669
0.914,135,-46,-6.47675753572987,-0.641731490906409
0.914,135,-44,-6.23990511469132,0.00509262358068282
0.914,135,-42,-6.012654998463,0.619341316351394
0.914,135,-40,-5.79533554278767,1.20218667565045
0.914,135,-38,-5.58826545185231,1.75457533717549
0.914,135,-36,-5.3917518801389,2.27726840863638
0.914,135,-34,-5.20608883292936,2.77087391056056
0.914,135,-32,-5.03155588102834,3.23587338039598
0.914,135,-30,-4.86841719493986,3.67264388700312
0.914,135,-28,-4.71692089272864,4.08147640561075
0.914,135,-26,-4.5772986847405,4.4625912797579
0.914,135,-24,-4.44976578772739,4.81615132661974
0.914,135,-22,-4.33452107105939,5.14227301171312
0.914,135,-20,-4.23174738883936,5.44103601881495
0.914,135,-18,-4.14161204406928,5.71249146429073
0.914,135,-16,-4.06426732479274,5.95666894699162
0.914,135,-14,-3.9998510477041,6.1735825816274
0.914,135,-12,-3.9484870425345,6.36323613194933
0.914,135,-10,-3.91028551115187,6.52562733752584
0.914,135,-8,-3.88534319929334,6.66075151204397
0.914,135,-6,-3.87374332660739,6.76860447990608
0.914,135,-4,-3.87555523236552,6.84918490972196
0.914,135,-2,-3.89083370956077,6.90249609678955
0.914,135,0,-3.91961801841632,6.92854724087283
0.914,135,2,-3.96193059038098,6.92735425997655
0.914,135,4,-4.01777545390432,6.89894017519859
0.914,135,6,-4.08713643186235,6.84333509621707
0.914,135,8,-4.16997517567225,6.76057583182884
0.914,135,10,-4.2662291113961,6.65070514555067
0.914,135,12,-4.37580937751068,6.51377067291404
0.914,135,14,-4.49859883221619,6.34982351485213
0.914,135,16,-4.63445020062321,6.15891652038001
0.914,135,18,-4.7831844200453,5.94110227123528
0.914,135,20,-4.9445892266258,5.69643078067504
0.914,135,22,-5.1184180106318,5.42494691746609
0.914,135,24,-5.3043889529578,5.12668756347806
0.914,135,26,-5.5021844434352,4.80167850852265
0.914,135,28,-5.71145077368502,4.44993107876584
0.914,135,30,-5.93179809409075,4.07143848516421
0.914,135,32,-6.16280062594734,3.66617186645513
0.914,135,34,-6.40399712530025,3.23407598841115
0.914,135,36,-6.65489160332021,2.77506454924666
0.914,135,38,-6.91495431792274,2.28901503303422
0.914,135,40,-7.18362306137772,1.77576305270855
0.914,135,42,-7.46030477768615,1.2350961373017
0.914,135,44,-7.74437755066275,0.666746952535532
0.914,135,46,-8.03519300846186,0.070386011803602
0.914,135,48,-8.33207919256491,-0.554385945687732
0.914,135,50,-8.63434393910424,-1.20804553237418
0.914,135,52,-8.94127881802274,-1.89115354075661
0.914,135,54,-9.25216367110471,-2.60435978932701
0.914,135,56,-9.56627178333461,-3.34840390109505
0.914,135,58,-9.882875713082,-4.12410855829457
0.914,135,60,-10.2012537947976,-4.93235956343807
0.914,135,62,-10.5206973126512,-5.77406345981833
0.914,135,64,-10.8405183243461,-6.65006768892603
0.914,135,66,-11.1600580910127,-7.56101898890505
0.914,135,68,-11.4786960419878,-8.50712105953008
0.914,135,70,-11.7958591735352,-9.48772997893262
0.914,135,72,-12.1110317501326,-10.5006933526102
0.914,135,74,-12.4237651485943,-11.5412984802859
0.914,135,76,-12.7336876623917,-12.6006620021499
0.914,135,78,-13.0405140696298,-13.66342410721
0.914,135,80,-13.3440547665253,-14.7048453520152
0.914,135,82,-13.6442242813078,-15.6881010325741
0.914,135,84,-13.9410490122572,-16.5639288718458
0.914,135,86,-14.2346740773098,-17.2761818459575
0.914,135,88,-14.5253692185845,-17.7756930819424
0.914,135,90,-14.81353376873,-18.0383672094244
0.914,135,92,-15.0997007511754,-18.075792803004
0.914,135,94,-15.3845402464096,-17.9295873233481
0.914,135,96,-15.6688622045091,-17.6542967737
0.914,135,98,-15.9536189141855,-17.3012243548227
0.914,135,100,-16.2399073457706,-16.9101917184711
0.914,135,102,-16.5289715663254,-16.5083551703026
0.914,135,104,-16.8222053771205,-16.1124392764604
0.914,135,106,-17.1211552448804,-15.7316963589166
0.914,135,108,-17.4275234847993,-15.3704206167955
0.914,135,110,-17.7431714977016,-15.0297565521918
0.914,135,112,-18.07012265028,-14.7088962656818
0.914,135,114,-18.4105640869604,-14.4058377093965
0.914,135,116,-18.7668463233436,-14.1178557243717
0.914,135,118,-19.141478807711,-13.8417973197956
0.914,135,120,-19.5371186059436,-13.5742772417904
0.914,135,122,-19.9565477346722,-13.3118239218615
0.914,135,124,-20.402632066066,-13.0510076128368
0.914,135,126,-20.8782505682126,-12.7885691202361
0.914,135,128,-21.3861770216145,-12.5215568569778
0.914,135,130,-21.9288859315471,-12.2474708698797
0.914,135,132,-22.5082383638805,-11.9644049292226
0.914,135,134,-23.124980068084,-11.6711724584619
0.914,135,136,-23.7779534587303,-11.3674000497155
0.914,135,138,-24.462893895541,-11.0535742721776
0.914,135,140,-25.170677120396,-10.7310332274605
0.914,135,142,-25.8849850774739,-10.4019024916934
0.914,135,144,-26.5797213444121,-10.0689835517609
0.914,135,146,-27.2173468377799,-9.7356093822561
0.914,135,148,-27.7505610950488,-9.40548495900635
0.914,135,150,-28.1302729970984,-9.08252998517257
0.914,135,152,-28.320062646118,-8.77073771566735
0.914,135,154,-28.3107511972032,-8.47405888400864
0.914,135,156,-28.1248478021383,-8.19631474220025
0.914,135,158,-27.8072390875913,-7.94113909879753
0.914,135,160,-27.4094842989937,-7.71194643506506
0.914,135,162,-26.9774729239137,-7.51192170255537
0.914,135,164,-26.5461208632634,-7.34402700033275
0.914,135,166,-26.13932554616,-7.21102064520555
0.914,135,168,-25.7722019947573,-7.11548485447859
0.914,135,170,-25.4536617901316,-7.05985910507873
0.914,135,172,-25.18854805774,-7.04647704804997
0.914,135,174,-24.9791778943143,-7.07760554532573
0.914,135,176,-24.8263825714301,-7.15548490181549
0.914,135,178,-24.7301825586829,-7.2823696511624
0.914,135,180,-24.6902139844191,-7.46056926557686
