"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
0.914,0,-104,-34.6151994208143,-15.2905616712531
0.914,0,-102,-34.5390274035973,-15.1523051659492
0.914,0,-100,-34.4680185935605,-15.0274541229841
0.914,0,-98,-34.3995792851706,-14.9096390004879
0.914,0,-96,-34.3310345813465,-14.7896978726818
0.914,0,-94,-34.2596255224955,-14.6557931017222
0.914,0,-92,-34.1825229951935,-14.4937954846592
0.914,0,-90,-34.0968617584931,-14.2881518947104
0.914,0,-88,-33.9997967515123,-14.0233783275011
0.914,0,-86,-33.8885817949447,-13.6861042916663
0.914,0,-84,-33.7606678833318,-13.2672678660474
0.914,0,-82,-33.6138147638681,-12.7637962033995
0.914,0,-80,-33.4462060123063,-12.1791425712327
0.914,0,-78,-33.2565552084572,-11.5224643749986
0.914,0,-76,-33.0441899899165,-10.8067841920741
0.914,0,-74,-32.8091023452058,-10.0468123372657
0.914,0,-72,-32.5519575152825,-9.2570607414086
0.914,0,-70,-32.2740595875401,-8.45057949658267
0.914,0,-68,-31.9772780004464,-7.63833967759041
0.914,0,-66,-31.6639442969108,-6.82910891620419
0.914,0,-64,-31.3367314881144,-6.02962407448275
0.914,0,-62,-30.9985289157072,-5.24489984815709
0.914,0,-60,-30.6523238404036,-4.4785683543701
0.914,0,-58,-30.3010979296505,-3.73319354759789
0.914,0,-56,-29.9477432910246,-3.0105372425026
0.914,0,-54,-29.5949994683279,-2.31177226997812
0.914,0,-52,-29.2454103448087,-1.63764731154314
0.914,0,-50,-28.9012983322733,-0.988611277493517
0.914,0,-48,-28.5647524884126,-0.364905487816024
0.914,0,-46,-28.2376271010689,0.23336897351399
0.914,0,-44,-27.9215475828333,0.806202657095298
0.914,0,-42,-27.6179210355714,1.35364311707784
0.914,0,-40,-27.3279494269086,1.87577058830052
0.914,0,-38,-27.052643877091,2.37268121582389
0.914,0,-36,-26.7928390361771,2.84447578570641
0.914,0,-34,-26.5492069200341,3.29125244008461
0.914,0,-32,-26.3222698697705,3.71310225824408
0.914,0,-30,-26.1124125135831,4.11010687985361
0.914,0,-28,-25.9198927569372,4.48233756282564
0.914,0,-26,-25.7448519212322,4.82985522674582
0.914,0,-24,-25.5873242058007,5.15271114902673
0.914,0,-22,-25.4472456740694,5.4509480664899
0.914,0,-20,-25.3244629704064,5.72460149850655
0.914,0,-18,-25.2187419657443,5.9737011553194
0.914,0,-16,-25.1297765117555,6.19827233115708
0.914,0,-14,-25.0571974578593,6.39833720935511
0.914,0,-12,-25.0005820542031,6.57391602807149
0.914,0,-10,-24.9594638276968,6.72502807178981
